evyear evjday evmonth evday evhour evmin evsec evmsec evla evlo evdp 
2009 7 1 7 19 40 8 9710 65.1362 -16.3739 3.55762 
2009 7 1 7 19 55 16 663000 65.1359 -16.369 3.45996 
2009 7 1 7 20 13 9 960330 65.0969 -16.3035 6.64355 
2009 7 1 7 23 41 56 767299 65.1359 -16.369 3.17676 
2009 8 1 8 0 7 23 257699 65.1185 -16.3204 2.88379 
2009 8 1 8 0 45 29 227299 65.1851 -16.2729 3.32324 
2009 8 1 8 0 56 6 645330 65.119 -16.3212 2.81543 
2009 8 1 8 1 54 20 891500 65.1361 -16.4308 2.65918 
2009 8 1 8 1 58 4 820420 65.0162 -16.6735 4.00684 
2009 8 1 8 4 43 0 987878 65.118 -16.3234 2.94238 
2009 8 1 8 5 16 13 357799 65.1203 -16.336 3.11816 
2009 8 1 8 5 18 7 834539 65.1201 -16.3232 2.74707 
2009 8 1 8 5 18 34 598700 65.1489 -16.3656 4.9248 
2009 8 1 8 5 25 51 333100 65.1431 -16.3907 4.26074 
2009 8 1 8 5 26 7 439940 65.1191 -16.3125 2.4541 
2009 8 1 8 5 32 29 191600 65.1377 -16.3713 3.77246 
2009 8 1 8 5 43 50 44299 65.1375 -16.3738 3.68457 
2009 8 1 8 6 53 28 873899 65.1395 -16.3734 3.51367 
2009 8 1 8 7 38 14 44800 65.1403 -16.3652 3.88965 
2009 8 1 8 13 38 58 171500 65.1043 -16.4733 7.43457 
2009 8 1 8 15 9 36 294600 65.1764 -16.3256 7.71289 
2009 8 1 8 15 46 29 121500 65.1535 -16.1294 6.91699 
2009 8 1 8 15 52 2 788730 65.1564 -16.4176 3.87012 
2009 8 1 8 16 6 57 751300 65.1487 -16.3552 4.36816 
2009 8 1 8 16 14 15 965400 65.1623 -16.3894 4.02148 
2009 8 1 8 18 20 14 646699 65.1481 -16.1732 2.7959 
2009 8 1 8 19 19 47 74300 65.0226 -16.6986 3.00098 
2009 8 1 8 19 35 3 624369 65.1191 -16.3249 2.86426 
2009 9 1 9 4 53 7 125409 65.1492 -16.128 4.82227 
2009 9 1 9 7 8 29 365899 65.0782 -16.4692 2.07324 
2009 9 1 9 10 58 31 874600 65.0795 -16.2597 5.8623 
2009 9 1 9 11 51 50 636800 65.0202 -16.6854 2.79102 
2009 9 1 9 12 58 42 354199 65.08 -16.2729 5.05176 
2009 9 1 9 14 10 43 743800 65.1419 -16.3671 4.12402 
2009 9 1 9 18 6 35 612999 65.1375 -16.3725 3.90918 
2009 9 1 9 18 42 54 114600 65.0165 -16.6772 2.27832 
2009 9 1 9 19 38 38 611100 65.004 -16.6248 8.72852 
2009 9 1 9 20 46 43 240800 65.1461 -16.3833 4.06543 
